Given a ,s
iven a s,t
ven a st,a
en a sta,t
n a stat,e
 a state, , 
a state ,d,o
 state d,i
state di,a
tate dia,g
ate diag,r
te diagr,a
e diagra,m,m
 diagram,,,,, 
diagram,, , 
iagram, ,w,w
agram, w,e,e
gram, we, , 
ram, we ,p,c
am, we p,r
m, we pr,o
, we pro,d
 we prod,u
we produ,c
e produc,e
 produce, , ,s
produce ,a,l
roduce a, 
oduce a ,s
duce a s,e
uce a se,n
ce a sen,t
e a sent,e
 a sente,n,n
a senten,c,c
 sentenc,e,e,e,e
sentence, , ,,,,
entence ,b,i
ntence b,y
tence by, 
ence by ,t
nce by t,r
ce by tr,a
e by tra,c
 by trac,i
by traci,n
y tracin,g
 tracing, 
tracing ,a
racing a, 
acing a ,p
cing a p,a
ing a pa,t
ng a pat,h
g a path, 
 a path ,f
a path f,r
 path fr,o
path fro,m
ath from, 
th from ,t
h from t,h
 from th,e,i
from the, 
rom the ,i
om the i,n
m the in,i
 the ini,t,t
the init,i,i
he initi,a,a
e initia,l,l
 initial, , 
initial ,p,s
nitial p,o
itial po,i
tial poi,n
ial poin,t
al point, , 
l point ,o,o
 point o,n,n,f
point on, , 
oint on ,t,t
int on t,h,h
nt on th,e,e
t on the, , 
 on the ,l,r
on the l,e
n the le,f
 the lef,t
the left, 
he left ,t
e left t,o
 left to, 
left to ,t
eft to t,h
ft to th,e
t to the, 
 to the ,f
to the f,i
o the fi,n
 the fin,a
the fina,l
he final, 
e final ,p
 final p,o
final po,i
inal poi,n
nal poin,t
on the r,i
n the ri,g
 the rig,h
the righ,t
he right,,
e right,, 
 right, ,a
right, a,l
ight, al,w
ght, alw,a
ht, alwa,y
t, alway,s
, always, 
 always ,p
always p,r
lways pr,o
ways pro,c
ays proc,e
ys proce,e
s procee,d
 proceed,i, 
proceedi,n
roceedin,g
oceeding, 
ceeding ,i
eeding i,n
eding in, 
ding in ,t
ing in t,h,h
ng in th,e,e
g in the, , 
 in the ,d,d,a,i,u,s
in the d,i,i
n the di,r,a
 the dir,e
the dire,c
he direc,t
e direct,i
 directi,o
directio,n
irection, 
rection ,o
ection o,f
ction of, 
tion of ,t,l,l
ion of t,h
on of th,e
n of the, 
 of the ,a,m,l,t,s,s,n,g
of the a,r
f the ar,r
 the arr,o
the arro,w
he arrow,s
e arrows,.
 arrows., 
arrows. ,H
rrows. H,a
rows. Ha,v
ows. Hav,i
ws. Havi,n
s. Havin,g
. Having, 
 Having ,r
Having r,e
aving re,a
ving rea,c
ing reac,h
ng reach,e
g reache,d
 reached, 
reached ,a
eached a, 
ached a ,c
ched a c,e
hed a ce,r
ed a cer,t
d a cert,a
 a certa,i
a certai,n
 certain, 
certain ,p
ertain p,o
rtain po,i
tain poi,n
ain poin,t
in point, 
n point ,i
 point i,n,n
point in, , 
oint in ,t,t
int in t,h,h
nt in th,e,e
t in the, , 
 the dia,g
the diag,r
he diagr,a
am, we c,a
m, we ca,n
, we can, , 
 we can ,p,h,d,a,v
we can p,r
e can pr,o
 can pro,c
can proc,e
an proce,e
n procee,d
proceed ,a
roceed a,l
oceed al,o
ceed alo,n
eed alon,g
ed along, 
d along ,a
 along a,n
along an,y
long any, 
ong any ,p
ng any p,a
g any pa,t
 any pat,h
any path, 
ny path ,l
y path l,e
 path le,a
path lea,d
ath lead,i
th leadi,n
h leadin,g
 leading, 
leading ,f
eading f,r
ading fr,o
ding fro,m
ing from, 
ng from ,t
g from t,h
from thi,s
rom this, 
om this ,p
m this p,o
 this po,i,i,i
this poi,n,n,n
his poin,t,t,t
is point,,, , 
s point,, 
 point, ,w
point, w,h
oint, wh,e
int, whe,t
nt, whet,h
t, wheth,e
, whethe,r
 whether, 
whether ,o
hether o,r
ether or, 
ther or ,n
her or n,o
er or no,t
r or not, 
 or not ,t
or not t,h
r not th,i
 not thi,s
not this, 
ot this ,p
t this p,a,o
 this pa,t
this pat,h
his path, 
is path ,h
s path h,a
 path ha,s
path has, 
ath has ,b
th has b,e
h has be,e
 has bee,n
